AREAS;TECHNOLOGIES;CAPEX_2030;CAPEX_2040;CAPEX_2050;CAPEX_2060;Decommissioning_2030;Decommissioning_2040;Decommissioning_2050;Decommissioning_2060;Lifetime_2030;Lifetime_2040;Lifetime_2050;Lifetime_2060;OM_2030;OM_2040;OM_2050;OM_2060;CO2_emissions;energyCost_2030;energyCost_2040;energyCost_2050;energyCost_2060;EnergyNbhourCap;minCapacity_2030;maxCapacity_2030;minCapacity_2040;maxCapacity_2040;minCapacity_2050;maxCapacity_2050;minCapacity_2060;maxCapacity_2060;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CH;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;0;0;0;0;0;0;0;0,06;0,06;0;0
CH;WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CH;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;0;0;0;0;0;0;0;0,06;0,06;0;0
CH;NewNuke;11575757,58;5000000;4500000;4500000;200000;200000;200000;200000;60;60;60;60;115000;115000;115000;115000;0;10;10;10;10;0;0;0;0;0;0;0;0;0;0,04;0,04;0;0
IT;CCG;830000;830000;830000;830000;0;0;0;0;30;30;30;30;36000;36000;36000;36000;434;38,64447087;38,64447087;38,64447087;38,64447087;0;0;59500;0;59500;0;0;0;0;0,5;0,5;0;0
IT;WindOnShore;1200000;1050000;900000;900000;0;0;0;0;25;30;30;30;35000;30000;25000;25000;0;0;0;0;0;0;23600;46400;37500;85700;51400;125000;51400;125000;0;0;0;0
IT;WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;1000;5000;1000;10000;1000;15000;1000;15000;0;0;0;0
IT;HydroRiver;0;0;0;0;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;15890;15890;15890;15890;15890;15890;15890;15890;0;0;0;0
IT;Solar;945000;822000;742000;742000;0;0;0;0;25;30;30;30;23000;20000;18500;18500;0;0;0;0;0;0;63800;92900;110000;171400;156200;250000;156200;250000;0;0;0;0
IT;curtailment;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0
IT;HydroReservoir;0;0;0;0;0;0;0;0;75;75;75;75;70577,84757;70577,84757;70577,84757;70577,84757;0;0;0;0;0;905;6810;6810;6810;6810;6810;6810;6810;6810;0;0;0;0
IT;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;0;0;0;0;0;0;0;0,06;0,06;0;0
IT;Biomass;3000000;3000000;3000000;3000000;0;0;0;0;30;30;30;30;75000;75000;75000;75000;35;35;35;35;35;0;0;4107;0;4107;0;4107;0;4107;0,06;0,06;0;0
IT;OldNuke;650000;650000;650000;650000;320000;320000;320000;320000;10;10;10;10;115000;115000;115000;115000;0;10;10;10;10;0;0;0;0;0;0;0;0;0;0,04;0,04;0;0
IT;NewNuke;11575757,58;5000000;4500000;4500000;200000;200000;200000;200000;60;60;60;60;115000;115000;115000;115000;0;10;10;10;10;0;0;0;0;0;0;0;0;0;0,04;0,04;0;0
IT;Geothermal;2800000;2800000;2800000;2800000;0;0;0;0;25;25;25;25;175000;175000;175000;175000;0;0;0;0;0;0;800;800;800;800;800;800;800;800;0;0;0;0
BE;CCG;830000;830000;830000;830000;0;0;0;0;30;30;30;30;36000;36000;36000;36000;434;38,64447087;38,64447087;38,64447087;38,64447087;0;7000;9500;0;9500;0;0;0;0;0,5;0,5;0;0
BE;WindOnShore;1200000;1050000;900000;900000;0;0;0;0;25;30;30;30;35000;30000;25000;25000;0;0;0;0;0;0;4429;10200;6429;18600;8429;27000;8429;27000;0;0;0;0
BE;WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;9016;10819;15778;18934;22540;27048;22540;27048;0;0;0;0
BE;HydroRiver;0;0;0;0;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;200;200;200;200;200;200;200;200;0;0;0;0
BE;Solar;945000;822000;742000;742000;0;0;0;0;25;30;30;30;23000;20000;18500;18500;0;0;0;0;0;0;13788;18800;23788;34400;33788;50000;33788;50000;0;0;0;0
