AREAS,STOCK_TECHNO,storageCost,p_max,c_min,c_max,efficiency_in,dissipation,efficiency_out
FR,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
FR,HydroStorage,61402.64,5023.0,100460,100460,0.89,0.0,0.89
BE,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
BE,HydroStorage,61402.64,1308.0,32700,32700,0.89,0.0,0.89
DE,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
DE,HydroStorage,61402.64,9422.0,141330,141330,0.89,0.0,0.89
ES,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
ES,HydroStorage,61402.64,5645.4,56454,56454,0.89,0.0,0.89
GB,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
GB,HydroStorage,61402.64,2744.0,27440,27440,0.89,0.0,0.89
IT,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
IT,HydroStorage,61402.64,7574.0,75740,75740,0.89,0.0,0.89
CH,Battery,27646.0,0.0,0,0,0.92,0.021,0.92
CH,HydroStorage,61402.64,6640.7,132814,132814,0.89,0.0,0.89
